@RELATION Bado

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE step_1 NUMERIC
@ATTRIBUTE step_2 NUMERIC
@ATTRIBUTE step_7 NUMERIC
@ATTRIBUTE step_4 NUMERIC
@ATTRIBUTE step_5 NUMERIC
@ATTRIBUTE step_6 NUMERIC
@ATTRIBUTE step_3 NUMERIC

@DATA
instance_1,4.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0
instance_2,4.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0
instance_3,4.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0
instance_4,4.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0
instance_6,4.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0
instance_7,4.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0
instance_8,4.0,0.0,0.0,0.0,4.0,20.0,8.0,24.0
instance_9,4.0,0.0,0.0,0.0,4.0,20.0,12.0,24.0
instance_10,4.0,0.0,0.0,0.0,8.0,20.0,4.0,24.0
instance_11,4.0,0.0,0.0,0.0,8.0,20.0,20.0,24.0
instance_14,4.0,0.0,0.0,0.0,8.0,20.0,8.0,24.0
instance_16,4.0,0.0,0.0,0.0,8.0,20.0,8.0,24.0
instance_21,4.0,0.0,0.0,0.0,16.0,20.0,20.0,24.0
instance_22,4.0,0.0,0.0,0.0,16.0,20.0,20.0,24.0
instance_24,4.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0
instance_25,4.0,0.0,0.0,0.0,8.0,24.0,4.0,4.0
instance_26,4.0,0.0,0.0,0.0,12.0,20.0,4.0,24.0
instance_27,4.0,0.0,0.0,0.0,12.0,20.0,4.0,24.0
instance_28,4.0,0.0,0.0,0.0,12.0,20.0,0.0,24.0
instance_29,4.0,0.0,0.0,0.0,12.0,20.0,0.0,24.0
instance_30,4.0,0.0,0.0,0.0,8.0,20.0,12.0,24.0
instance_33,4.0,0.0,0.0,0.0,16.0,20.0,12.0,24.0
instance_36,4.0,0.0,0.0,0.0,16.0,20.0,20.0,24.0
instance_37,4.0,0.0,0.0,0.0,16.0,20.0,20.0,24.0
instance_39,4.0,0.0,0.0,0.0,16.0,20.0,20.0,24.0
instance_40,4.0,0.0,0.0,0.0,20.0,20.0,24.0,24.0
instance_41,4.0,0.0,0.0,0.0,8.0,20.0,4.0,24.0
instance_43,4.0,0.0,0.0,0.0,12.0,20.0,20.0,24.0
instance_45,4.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0
instance_46,4.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0
instance_48,4.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0
instance_52,4.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0
instance_53,4.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0
instance_55,4.0,0.0,0.0,0.0,16.0,20.0,20.0,24.0
instance_56,4.0,0.0,0.0,0.0,12.0,20.0,20.0,24.0
instance_59,4.0,0.0,0.0,0.0,8.0,20.0,20.0,4.0
instance_60,4.0,0.0,0.0,0.0,8.0,20.0,20.0,24.0
instance_61,4.0,0.0,0.0,0.0,12.0,20.0,20.0,24.0
instance_62,4.0,0.0,0.0,0.0,12.0,20.0,20.0,24.0
instance_63,4.0,0.0,0.0,0.0,12.0,20.0,20.0,24.0
instance_64,4.0,0.0,0.0,0.0,8.0,20.0,20.0,24.0
instance_65,4.0,0.0,0.0,0.0,12.0,20.0,20.0,24.0
instance_66,4.0,0.0,0.0,0.0,16.0,20.0,20.0,24.0
instance_70,4.0,0.0,0.0,0.0,20.0,20.0,32.0,24.0
instance_71,4.0,0.0,0.0,0.0,12.0,20.0,20.0,24.0
instance_72,4.0,0.0,0.0,0.0,20.0,20.0,24.0,24.0
instance_73,4.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0
instance_75,4.0,0.0,0.0,0.0,12.0,20.0,0.0,24.0
instance_76,4.0,0.0,0.0,0.0,12.0,20.0,20.0,24.0
instance_78,4.0,0.0,0.0,0.0,12.0,20.0,20.0,24.0
instance_79,4.0,0.0,0.0,0.0,16.0,20.0,16.0,24.0
instance_80,4.0,0.0,0.0,0.0,16.0,24.0,24.0,24.0
instance_83,4.0,0.0,0.0,0.0,8.0,20.0,0.0,24.0
instance_84,4.0,0.0,0.0,0.0,8.0,20.0,0.0,24.0
instance_86,4.0,0.0,0.0,0.0,0.0,20.0,0.0,24.0
instance_87,4.0,0.0,0.0,0.0,4.0,20.0,20.0,4.0
instance_89,4.0,0.0,0.0,0.0,4.0,20.0,20.0,24.0
instance_91,4.0,0.0,0.0,0.0,4.0,20.0,4.0,24.0
instance_94,4.0,0.0,0.0,0.0,4.0,20.0,20.0,24.0
instance_95,4.0,0.0,0.0,0.0,4.0,12.0,20.0,24.0
instance_96,4.0,0.0,0.0,0.0,8.0,20.0,20.0,24.0
instance_97,4.0,0.0,0.0,0.0,8.0,20.0,20.0,24.0
instance_100,4.0,0.0,0.0,0.0,8.0,4.0,20.0,24.0
instance_101,4.0,0.0,0.0,0.0,12.0,20.0,20.0,24.0
instance_102,4.0,0.0,0.0,0.0,16.0,20.0,24.0,24.0
instance_103,4.0,0.0,0.0,0.0,16.0,20.0,24.0,24.0
instance_106,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
instance_107,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
instance_110,4.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0
instance_111,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
