@RELATION Magnus

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE step_1 NUMERIC

@DATA
instance_1,1.0,0.42
instance_2,1.0,0.65
instance_3,1.0,0.36
instance_4,1.0,0.25
instance_5,1.0,0.43
instance_6,1.0,0.7
instance_7,1.0,0.38
instance_8,1.0,0.41
instance_10,1.0,0.31
instance_11,1.0,0.48
instance_17,1.0,0.59
instance_18,1.0,0.48
instance_19,1.0,0.55
instance_21,1.0,0.56
instance_25,1.0,0.7
instance_26,1.0,0.47
instance_27,1.0,0.46
instance_28,1.0,0.51
instance_30,1.0,0.35
instance_31,1.0,0.65
instance_32,1.0,0.66
instance_33,1.0,0.52
instance_34,1.0,0.54
instance_35,1.0,0.56
instance_36,1.0,0.25
instance_37,1.0,0.6
instance_38,1.0,0.55
instance_39,1.0,0.41
instance_40,1.0,0.29
instance_41,1.0,0.49
instance_42,1.0,0.45
instance_44,1.0,0.41
instance_45,1.0,0.63
instance_47,1.0,0.39
instance_48,1.0,0.54
instance_49,1.0,0.4
instance_50,1.0,0.4
instance_51,1.0,0.05
instance_53,1.0,0.05
instance_54,1.0,0.05
instance_55,1.0,0.05
instance_56,1.0,0.05
instance_57,1.0,0.05
instance_58,1.0,0.05
instance_59,1.0,0.05
instance_62,1.0,0.05
instance_63,1.0,0.05
instance_65,1.0,0.05
instance_66,1.0,0.05
instance_68,1.0,0.05
instance_70,1.0,0.05
instance_71,1.0,0.05
instance_72,1.0,0.05
instance_73,1.0,0.05
instance_74,1.0,0.05
instance_77,1.0,1.06
instance_78,1.0,1.05
instance_79,1.0,0.17
instance_80,1.0,0.18
instance_81,1.0,0.17
instance_82,1.0,0.17
instance_83,1.0,0.17
instance_85,1.0,1.06
instance_86,1.0,0.16
instance_88,1.0,1.06
instance_90,1.0,0.17
instance_92,1.0,0.16
instance_94,1.0,0.17
instance_95,1.0,0.17
instance_96,1.0,0.17
instance_98,1.0,1.06
instance_99,1.0,0.16
instance_100,1.0,1.07
instance_102,1.0,1.06
instance_103,1.0,0.16
instance_104,1.0,0.17
instance_105,1.0,0.16
instance_109,1.0,1.06
instance_110,1.0,0.16
instance_112,1.0,0.06
instance_113,1.0,0.07
instance_115,1.0,0.05
instance_116,1.0,0.06
instance_118,1.0,12.74
instance_121,1.0,0.0
instance_122,1.0,1.1
instance_123,1.0,1.15
instance_124,1.0,1.15
instance_125,1.0,0.01
instance_126,1.0,0.0
instance_127,1.0,0.01
instance_128,1.0,0.01
instance_129,1.0,0.0
instance_130,1.0,0.01
instance_134,1.0,0.01
instance_135,1.0,0.0
instance_136,1.0,0.0
instance_137,1.0,0.0
instance_138,1.0,0.01
instance_140,1.0,0.03
instance_142,1.0,0.03
instance_143,1.0,0.03
instance_145,1.0,0.03
instance_147,1.0,0.18
instance_151,1.0,0.18
instance_152,1.0,0.03
instance_153,1.0,0.18
instance_154,1.0,0.2
instance_155,1.0,0.03
instance_157,1.0,0.03
instance_158,1.0,0.18
instance_160,1.0,0.03
instance_161,1.0,0.18
instance_162,1.0,0.18
instance_163,1.0,0.18
instance_164,1.0,0.03
instance_166,1.0,0.09
instance_167,1.0,0.02
instance_168,1.0,0.09
instance_170,1.0,0.09
instance_171,1.0,0.09
instance_174,1.0,0.02
instance_175,1.0,0.01
instance_176,1.0,0.09
instance_181,1.0,0.02
instance_182,1.0,0.09
instance_184,1.0,0.02
instance_186,1.0,0.09
instance_191,1.0,0.09
instance_192,1.0,0.09
instance_195,1.0,0.09
instance_196,1.0,0.09
instance_197,1.0,0.16
instance_198,1.0,0.09
instance_200,1.0,0.09
instance_203,1.0,0.09
instance_204,1.0,0.08
instance_205,1.0,0.06
instance_206,1.0,0.09
instance_207,1.0,0.05
instance_209,1.0,0.06
instance_210,1.0,0.11
instance_211,1.0,0.09
instance_214,1.0,0.09
instance_215,1.0,0.1
instance_217,1.0,0.09
instance_218,1.0,0.09
instance_220,1.0,0.09
instance_221,1.0,0.09
instance_223,1.0,0.09
instance_224,1.0,0.09
instance_225,1.0,0.09
instance_226,1.0,0.05
instance_227,1.0,0.09
instance_229,1.0,0.12
instance_230,1.0,0.6
instance_232,1.0,2.56
instance_233,1.0,1.33
instance_234,1.0,1.27
instance_235,1.0,1.94
instance_237,1.0,2.42
instance_239,1.0,2.67
instance_240,1.0,3.72
instance_243,1.0,2.13
instance_244,1.0,1.09
instance_245,1.0,0.04
instance_246,1.0,2.86
instance_247,1.0,0.38
instance_248,1.0,0.07
instance_249,1.0,0.1
instance_250,1.0,0.03
instance_251,1.0,0.11
instance_253,1.0,0.1
instance_257,1.0,0.03
instance_258,1.0,0.06
instance_260,1.0,0.03
instance_261,1.0,0.07
instance_262,1.0,0.1
instance_264,1.0,0.1
instance_265,1.0,0.06
instance_268,1.0,0.06
instance_269,1.0,0.03
instance_271,1.0,0.06
instance_272,1.0,0.03
instance_273,1.0,0.03
instance_274,1.0,0.03
instance_275,1.0,0.03
instance_276,1.0,0.1
instance_277,1.0,0.03
instance_278,1.0,0.07
instance_281,1.0,0.03
instance_282,1.0,0.1
instance_283,1.0,0.11
instance_284,1.0,0.11
instance_285,1.0,0.1
instance_288,1.0,0.03
instance_289,1.0,0.11
instance_290,1.0,0.07
instance_291,1.0,0.03
instance_292,1.0,0.06
instance_293,1.0,0.07
instance_296,1.0,1.16
instance_297,1.0,0.04
instance_299,1.0,0.32
instance_300,1.0,0.98
instance_301,1.0,0.03
instance_302,1.0,1.36
instance_303,1.0,0.09
instance_306,1.0,0.86
instance_307,1.0,0.34
instance_311,1.0,4.91
instance_312,1.0,0.17
instance_319,1.0,1.27
instance_321,1.0,0.15
instance_322,1.0,1.25
instance_323,1.0,0.94
instance_324,1.0,0.32
instance_328,1.0,0.54
instance_329,1.0,1.13
instance_331,1.0,0.53
instance_332,1.0,1.04
instance_333,1.0,1.09
instance_334,1.0,1.07
instance_335,1.0,1.05
instance_337,1.0,0.48
instance_338,1.0,1.05
instance_339,1.0,0.97
instance_342,1.0,0.52
instance_343,1.0,0.49
instance_344,1.0,0.49
instance_345,1.0,1.0
instance_348,1.0,2.07
instance_349,1.0,2.13
instance_350,1.0,2.13
instance_351,1.0,2.09
instance_352,1.0,1.23
instance_353,1.0,1.23
instance_354,1.0,1.38
instance_355,1.0,1.9
instance_357,1.0,1.89
instance_358,1.0,1.98
instance_359,1.0,1.91
instance_360,1.0,1.39
instance_361,1.0,1.4
instance_363,1.0,2.2
instance_364,1.0,0.05
instance_365,1.0,0.03
instance_366,1.0,0.05
instance_367,1.0,0.03
instance_368,1.0,0.04
instance_369,1.0,0.05
instance_370,1.0,0.04
instance_371,1.0,0.03
instance_373,1.0,0.04
instance_374,1.0,0.13
instance_375,1.0,0.09
instance_376,1.0,0.09
instance_378,1.0,0.12
instance_380,1.0,0.09
instance_382,1.0,0.14
instance_383,1.0,0.11
instance_385,1.0,0.09
instance_386,1.0,0.09
instance_387,1.0,0.1
instance_388,1.0,0.2
instance_389,1.0,0.12
instance_390,1.0,0.09
instance_391,1.0,0.11
instance_393,1.0,0.1
