@RELATION Magnus

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE step_1 {ok, timeout, memout, presolved, crash, unknown, other}

@DATA
instance_1,1.0,ok
instance_2,1.0,ok
instance_3,1.0,ok
instance_4,1.0,ok
instance_5,1.0,ok
instance_6,1.0,ok
instance_7,1.0,ok
instance_8,1.0,ok
instance_10,1.0,ok
instance_11,1.0,ok
instance_17,1.0,ok
instance_18,1.0,ok
instance_19,1.0,ok
instance_21,1.0,ok
instance_25,1.0,ok
instance_26,1.0,ok
instance_27,1.0,ok
instance_28,1.0,ok
instance_30,1.0,ok
instance_31,1.0,ok
instance_32,1.0,ok
instance_33,1.0,ok
instance_34,1.0,ok
instance_35,1.0,ok
instance_36,1.0,ok
instance_37,1.0,ok
instance_38,1.0,ok
instance_39,1.0,ok
instance_40,1.0,ok
instance_41,1.0,ok
instance_42,1.0,ok
instance_44,1.0,ok
instance_45,1.0,ok
instance_47,1.0,ok
instance_48,1.0,ok
instance_49,1.0,ok
instance_50,1.0,ok
instance_51,1.0,ok
instance_53,1.0,ok
instance_54,1.0,ok
instance_55,1.0,ok
instance_56,1.0,ok
instance_57,1.0,ok
instance_58,1.0,ok
instance_59,1.0,ok
instance_62,1.0,ok
instance_63,1.0,ok
instance_65,1.0,ok
instance_66,1.0,ok
instance_68,1.0,ok
instance_70,1.0,ok
instance_71,1.0,ok
instance_72,1.0,ok
instance_73,1.0,ok
instance_74,1.0,ok
instance_77,1.0,ok
instance_78,1.0,ok
instance_79,1.0,ok
instance_80,1.0,ok
instance_81,1.0,ok
instance_82,1.0,ok
instance_83,1.0,ok
instance_85,1.0,ok
instance_86,1.0,ok
instance_88,1.0,ok
instance_90,1.0,ok
instance_92,1.0,ok
instance_94,1.0,ok
instance_95,1.0,ok
instance_96,1.0,ok
instance_98,1.0,ok
instance_99,1.0,ok
instance_100,1.0,ok
instance_102,1.0,ok
instance_103,1.0,ok
instance_104,1.0,ok
instance_105,1.0,ok
instance_109,1.0,ok
instance_110,1.0,ok
instance_112,1.0,ok
instance_113,1.0,ok
instance_115,1.0,ok
instance_116,1.0,ok
instance_118,1.0,ok
instance_121,1.0,ok
instance_122,1.0,ok
instance_123,1.0,ok
instance_124,1.0,ok
instance_125,1.0,ok
instance_126,1.0,ok
instance_127,1.0,ok
instance_128,1.0,ok
instance_129,1.0,ok
instance_130,1.0,ok
instance_134,1.0,ok
instance_135,1.0,ok
instance_136,1.0,ok
instance_137,1.0,ok
instance_138,1.0,ok
instance_140,1.0,ok
instance_142,1.0,ok
instance_143,1.0,ok
instance_145,1.0,ok
instance_147,1.0,ok
instance_151,1.0,ok
instance_152,1.0,ok
instance_153,1.0,ok
instance_154,1.0,ok
instance_155,1.0,ok
instance_157,1.0,ok
instance_158,1.0,ok
instance_160,1.0,ok
instance_161,1.0,ok
instance_162,1.0,ok
instance_163,1.0,ok
instance_164,1.0,ok
instance_166,1.0,ok
instance_167,1.0,ok
instance_168,1.0,ok
instance_170,1.0,ok
instance_171,1.0,ok
instance_174,1.0,ok
instance_175,1.0,ok
instance_176,1.0,ok
instance_181,1.0,ok
instance_182,1.0,ok
instance_184,1.0,ok
instance_186,1.0,ok
instance_191,1.0,ok
instance_192,1.0,ok
instance_195,1.0,ok
instance_196,1.0,ok
instance_197,1.0,ok
instance_198,1.0,ok
instance_200,1.0,ok
instance_203,1.0,ok
instance_204,1.0,ok
instance_205,1.0,ok
instance_206,1.0,ok
instance_207,1.0,ok
instance_209,1.0,ok
instance_210,1.0,ok
instance_211,1.0,ok
instance_214,1.0,ok
instance_215,1.0,ok
instance_217,1.0,ok
instance_218,1.0,ok
instance_220,1.0,ok
instance_221,1.0,ok
instance_223,1.0,ok
instance_224,1.0,ok
instance_225,1.0,ok
instance_226,1.0,ok
instance_227,1.0,ok
instance_229,1.0,ok
instance_230,1.0,ok
instance_232,1.0,ok
instance_233,1.0,ok
instance_234,1.0,ok
instance_235,1.0,ok
instance_237,1.0,ok
instance_239,1.0,ok
instance_240,1.0,ok
instance_243,1.0,ok
instance_244,1.0,ok
instance_245,1.0,ok
instance_246,1.0,ok
instance_247,1.0,ok
instance_248,1.0,ok
instance_249,1.0,ok
instance_250,1.0,ok
instance_251,1.0,ok
instance_253,1.0,ok
instance_257,1.0,ok
instance_258,1.0,ok
instance_260,1.0,ok
instance_261,1.0,ok
instance_262,1.0,ok
instance_264,1.0,ok
instance_265,1.0,ok
instance_268,1.0,ok
instance_269,1.0,ok
instance_271,1.0,ok
instance_272,1.0,ok
instance_273,1.0,ok
instance_274,1.0,ok
instance_275,1.0,ok
instance_276,1.0,ok
instance_277,1.0,ok
instance_278,1.0,ok
instance_281,1.0,ok
instance_282,1.0,ok
instance_283,1.0,ok
instance_284,1.0,ok
instance_285,1.0,ok
instance_288,1.0,ok
instance_289,1.0,ok
instance_290,1.0,ok
instance_291,1.0,ok
instance_292,1.0,ok
instance_293,1.0,ok
instance_296,1.0,ok
instance_297,1.0,ok
instance_299,1.0,ok
instance_300,1.0,ok
instance_301,1.0,ok
instance_302,1.0,ok
instance_303,1.0,ok
instance_306,1.0,ok
instance_307,1.0,ok
instance_311,1.0,ok
instance_312,1.0,ok
instance_319,1.0,ok
instance_321,1.0,ok
instance_322,1.0,ok
instance_323,1.0,ok
instance_324,1.0,ok
instance_328,1.0,ok
instance_329,1.0,ok
instance_331,1.0,ok
instance_332,1.0,ok
instance_333,1.0,ok
instance_334,1.0,ok
instance_335,1.0,ok
instance_337,1.0,ok
instance_338,1.0,ok
instance_339,1.0,ok
instance_342,1.0,ok
instance_343,1.0,ok
instance_344,1.0,ok
instance_345,1.0,ok
instance_348,1.0,ok
instance_349,1.0,ok
instance_350,1.0,ok
instance_351,1.0,ok
instance_352,1.0,ok
instance_353,1.0,ok
instance_354,1.0,ok
instance_355,1.0,ok
instance_357,1.0,ok
instance_358,1.0,ok
instance_359,1.0,ok
instance_360,1.0,ok
instance_361,1.0,ok
instance_363,1.0,ok
instance_364,1.0,ok
instance_365,1.0,ok
instance_366,1.0,ok
instance_367,1.0,ok
instance_368,1.0,ok
instance_369,1.0,ok
instance_370,1.0,ok
instance_371,1.0,ok
instance_373,1.0,ok
instance_374,1.0,ok
instance_375,1.0,ok
instance_376,1.0,ok
instance_378,1.0,ok
instance_380,1.0,ok
instance_382,1.0,ok
instance_383,1.0,ok
instance_385,1.0,ok
instance_386,1.0,ok
instance_387,1.0,ok
instance_388,1.0,ok
instance_389,1.0,ok
instance_390,1.0,ok
instance_391,1.0,ok
instance_393,1.0,ok
instance_394,1.0,ok
instance_398,1.0,ok
instance_399,1.0,ok
instance_400,1.0,ok
instance_402,1.0,ok
instance_405,1.0,ok
instance_406,1.0,ok
instance_407,1.0,ok
instance_408,1.0,ok
instance_409,1.0,ok
instance_411,1.0,ok
instance_414,1.0,ok
instance_415,1.0,ok
instance_416,1.0,ok
instance_419,1.0,ok
instance_422,1.0,ok
instance_423,1.0,ok
instance_426,1.0,ok
instance_430,1.0,ok
instance_431,1.0,ok
instance_433,1.0,ok
instance_434,1.0,ok
instance_436,1.0,ok
instance_439,1.0,ok
instance_441,1.0,ok
instance_442,1.0,ok
instance_443,1.0,ok
instance_444,1.0,ok
instance_446,1.0,ok
instance_449,1.0,ok
instance_450,1.0,ok
instance_452,1.0,ok
instance_454,1.0,ok
instance_455,1.0,ok
instance_456,1.0,ok
instance_458,1.0,ok
instance_459,1.0,ok
instance_460,1.0,ok
instance_463,1.0,ok
instance_465,1.0,ok
instance_466,1.0,ok
instance_468,1.0,ok
instance_469,1.0,ok
instance_470,1.0,ok
instance_471,1.0,ok
instance_473,1.0,ok
instance_474,1.0,ok
instance_477,1.0,ok
instance_479,1.0,ok
instance_480,1.0,ok
instance_484,1.0,ok
instance_485,1.0,ok
instance_486,1.0,ok
instance_487,1.0,ok
instance_488,1.0,ok
instance_491,1.0,ok
instance_493,1.0,ok
instance_495,1.0,ok
instance_498,1.0,ok
instance_500,1.0,ok
instance_501,1.0,ok
instance_502,1.0,ok
instance_504,1.0,ok
instance_505,1.0,ok
instance_508,1.0,ok
instance_509,1.0,ok
instance_510,1.0,ok
instance_511,1.0,ok
instance_512,1.0,ok
instance_513,1.0,ok
instance_514,1.0,ok
instance_515,1.0,ok
instance_517,1.0,ok
instance_518,1.0,ok
instance_521,1.0,ok
instance_522,1.0,ok
instance_523,1.0,ok
instance_524,1.0,ok
instance_525,1.0,ok
instance_526,1.0,ok
instance_527,1.0,ok
instance_528,1.0,ok
instance_529,1.0,ok
instance_530,1.0,ok
instance_531,1.0,ok
instance_532,1.0,ok
instance_534,1.0,ok
instance_535,1.0,ok
instance_536,1.0,ok
instance_539,1.0,ok
instance_540,1.0,ok
instance_541,1.0,ok
instance_543,1.0,ok
instance_545,1.0,ok
instance_546,1.0,ok
instance_548,1.0,ok
instance_549,1.0,ok
instance_550,1.0,ok
instance_552,1.0,ok
instance_553,1.0,ok
instance_555,1.0,ok
instance_557,1.0,ok
instance_559,1.0,ok
instance_563,1.0,ok
instance_567,1.0,ok
instance_568,1.0,ok
instance_569,1.0,ok
instance_570,1.0,ok
instance_571,1.0,ok
instance_572,1.0,ok
instance_573,1.0,ok
instance_574,1.0,ok
instance_575,1.0,ok
instance_578,1.0,ok
instance_579,1.0,ok
instance_580,1.0,ok
instance_582,1.0,ok
instance_585,1.0,ok
instance_586,1.0,ok
instance_587,1.0,ok
instance_589,1.0,ok
instance_590,1.0,ok
instance_591,1.0,ok
instance_592,1.0,ok
instance_593,1.0,ok
instance_594,1.0,ok
instance_595,1.0,ok
instance_596,1.0,ok
instance_598,1.0,ok
instance_599,1.0,ok
instance_600,1.0,ok
% 
% 
% 
