@RELATION Monty

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE PAR10 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
instance_374,1.0,algorithm_8,18000.0,timeout
instance_374,1.0,algorithm_3,18000.0,timeout
instance_374,1.0,algorithm_17,18000.0,timeout
instance_374,1.0,algorithm_10,18000.0,timeout
instance_374,1.0,algorithm_15,18000.0,timeout
instance_374,1.0,algorithm_14,87.0,ok
instance_374,1.0,algorithm_12,18000.0,timeout
instance_374,1.0,algorithm_6,18000.0,timeout
instance_374,1.0,algorithm_13,18000.0,timeout
instance_374,1.0,algorithm_9,18000.0,timeout
instance_374,1.0,algorithm_5,18000.0,timeout
instance_374,1.0,algorithm_1,18000.0,timeout
instance_374,1.0,algorithm_16,18000.0,timeout
instance_374,1.0,algorithm_7,491.54,ok
instance_374,1.0,algorithm_11,18000.0,timeout
instance_374,1.0,algorithm_2,18000.0,timeout
instance_374,1.0,algorithm_4,519.41,ok
instance_374,1.0,algorithm_18,151.88,ok
instance_361,1.0,algorithm_8,18000.0,timeout
instance_361,1.0,algorithm_3,18000.0,timeout
instance_361,1.0,algorithm_17,18000.0,timeout
instance_361,1.0,algorithm_10,18000.0,timeout
instance_361,1.0,algorithm_15,18000.0,timeout
instance_361,1.0,algorithm_14,18000.0,timeout
instance_361,1.0,algorithm_12,18000.0,timeout
instance_361,1.0,algorithm_6,18000.0,timeout
instance_361,1.0,algorithm_13,18000.0,timeout
instance_361,1.0,algorithm_9,18000.0,timeout
instance_361,1.0,algorithm_5,18000.0,timeout
instance_361,1.0,algorithm_1,18000.0,timeout
instance_361,1.0,algorithm_16,18000.0,timeout
instance_361,1.0,algorithm_7,18000.0,timeout
instance_361,1.0,algorithm_11,18000.0,timeout
instance_361,1.0,algorithm_2,18000.0,timeout
instance_361,1.0,algorithm_4,18000.0,timeout
instance_361,1.0,algorithm_18,18000.0,timeout
instance_406,1.0,algorithm_8,18000.0,timeout
instance_406,1.0,algorithm_3,18000.0,timeout
instance_406,1.0,algorithm_17,18000.0,timeout
instance_406,1.0,algorithm_10,18000.0,timeout
instance_406,1.0,algorithm_15,18000.0,timeout
instance_406,1.0,algorithm_14,18000.0,timeout
instance_406,1.0,algorithm_12,18000.0,timeout
instance_406,1.0,algorithm_6,18000.0,timeout
instance_406,1.0,algorithm_13,18000.0,timeout
instance_406,1.0,algorithm_9,18000.0,timeout
instance_406,1.0,algorithm_5,18000.0,timeout
instance_406,1.0,algorithm_1,18000.0,timeout
instance_406,1.0,algorithm_16,18000.0,timeout
instance_406,1.0,algorithm_7,18000.0,timeout
instance_406,1.0,algorithm_11,18000.0,timeout
instance_406,1.0,algorithm_2,18000.0,timeout
instance_406,1.0,algorithm_4,18000.0,timeout
instance_406,1.0,algorithm_18,18000.0,timeout
instance_371,1.0,algorithm_8,18000.0,timeout
instance_371,1.0,algorithm_3,18000.0,timeout
instance_371,1.0,algorithm_17,18000.0,timeout
instance_371,1.0,algorithm_10,18000.0,timeout
instance_371,1.0,algorithm_15,18000.0,timeout
instance_371,1.0,algorithm_14,18000.0,timeout
instance_371,1.0,algorithm_12,18000.0,timeout
instance_371,1.0,algorithm_6,18000.0,timeout
instance_371,1.0,algorithm_13,18000.0,timeout
instance_371,1.0,algorithm_9,18000.0,timeout
instance_371,1.0,algorithm_5,18000.0,timeout
instance_371,1.0,algorithm_1,18000.0,timeout
instance_371,1.0,algorithm_16,18000.0,timeout
instance_371,1.0,algorithm_7,18000.0,timeout
instance_371,1.0,algorithm_11,18000.0,timeout
instance_371,1.0,algorithm_2,18000.0,timeout
instance_371,1.0,algorithm_4,18000.0,timeout
instance_371,1.0,algorithm_18,18000.0,timeout
instance_351,1.0,algorithm_8,18000.0,timeout
instance_351,1.0,algorithm_3,18000.0,timeout
instance_351,1.0,algorithm_17,18000.0,timeout
instance_351,1.0,algorithm_10,18000.0,timeout
instance_351,1.0,algorithm_15,18000.0,timeout
instance_351,1.0,algorithm_14,18000.0,timeout
instance_351,1.0,algorithm_12,18000.0,timeout
instance_351,1.0,algorithm_6,18000.0,timeout
instance_351,1.0,algorithm_13,18000.0,timeout
instance_351,1.0,algorithm_9,18000.0,timeout
instance_351,1.0,algorithm_5,18000.0,timeout
instance_351,1.0,algorithm_1,18000.0,timeout
instance_351,1.0,algorithm_16,18000.0,timeout
instance_351,1.0,algorithm_7,18000.0,timeout
instance_351,1.0,algorithm_11,18000.0,timeout
instance_351,1.0,algorithm_2,18000.0,timeout
instance_351,1.0,algorithm_4,18000.0,timeout
instance_351,1.0,algorithm_18,150.4,ok
instance_386,1.0,algorithm_8,18000.0,timeout
instance_386,1.0,algorithm_3,18000.0,timeout
instance_386,1.0,algorithm_17,18000.0,timeout
instance_386,1.0,algorithm_10,18000.0,timeout
instance_386,1.0,algorithm_15,18000.0,timeout
instance_386,1.0,algorithm_14,392.91,ok
instance_386,1.0,algorithm_12,18000.0,timeout
instance_386,1.0,algorithm_6,18000.0,timeout
instance_386,1.0,algorithm_13,18000.0,timeout
instance_386,1.0,algorithm_9,18000.0,timeout
instance_386,1.0,algorithm_5,18000.0,timeout
instance_386,1.0,algorithm_1,18000.0,timeout
instance_386,1.0,algorithm_16,18000.0,timeout
instance_386,1.0,algorithm_7,18000.0,timeout
instance_386,1.0,algorithm_11,18000.0,timeout
instance_386,1.0,algorithm_2,18000.0,timeout
instance_386,1.0,algorithm_4,18000.0,timeout
instance_386,1.0,algorithm_18,373.1,ok
instance_353,1.0,algorithm_8,18000.0,timeout
instance_353,1.0,algorithm_3,18000.0,timeout
instance_353,1.0,algorithm_17,18000.0,timeout
instance_353,1.0,algorithm_10,18000.0,timeout
instance_353,1.0,algorithm_15,18000.0,timeout
instance_353,1.0,algorithm_14,18000.0,timeout
instance_353,1.0,algorithm_12,18000.0,timeout
instance_353,1.0,algorithm_6,18000.0,timeout
instance_353,1.0,algorithm_13,18000.0,timeout
instance_353,1.0,algorithm_9,18000.0,timeout
instance_353,1.0,algorithm_5,18000.0,timeout
instance_353,1.0,algorithm_1,18000.0,timeout
instance_353,1.0,algorithm_16,18000.0,timeout
instance_353,1.0,algorithm_7,18000.0,timeout
instance_353,1.0,algorithm_11,18000.0,timeout
instance_353,1.0,algorithm_2,18000.0,timeout
instance_353,1.0,algorithm_4,18000.0,timeout
instance_353,1.0,algorithm_18,399.95,ok
instance_387,1.0,algorithm_8,18000.0,timeout
instance_387,1.0,algorithm_3,18000.0,timeout
instance_387,1.0,algorithm_17,18000.0,timeout
instance_387,1.0,algorithm_10,18000.0,timeout
instance_387,1.0,algorithm_15,18000.0,timeout
instance_387,1.0,algorithm_14,822.96,ok
instance_387,1.0,algorithm_12,18000.0,timeout
