@RELATION Sora

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE step_9 NUMERIC
@ATTRIBUTE step_16 NUMERIC
@ATTRIBUTE step_13 NUMERIC
@ATTRIBUTE step_14 NUMERIC
@ATTRIBUTE step_5 NUMERIC
@ATTRIBUTE step_11 NUMERIC
@ATTRIBUTE step_1 NUMERIC
@ATTRIBUTE step_4 NUMERIC
@ATTRIBUTE step_3 NUMERIC
@ATTRIBUTE step_8 NUMERIC
@ATTRIBUTE step_12 NUMERIC
@ATTRIBUTE step_15 NUMERIC
@ATTRIBUTE step_7 NUMERIC
@ATTRIBUTE step_10 NUMERIC
@ATTRIBUTE step_6 NUMERIC
@ATTRIBUTE step_2 NUMERIC

@DATA
instance_1,1.0,95.576,23.916,29.044,20.968,26.992,41.816,2.0,0.3039999999999998,0.0,27.944,0.04800000000000004,0.0,1.2559999999999998,21.984,1.456,475.964
instance_2,1.0,116.94,37.004,41.56,34.1,46.368,106.564,4.668,0.9359999999999999,0.0,20.128,0.17999999999999972,0.0,2.7359999999999998,0.0,3.531999999999999,1007.03
instance_3,1.0,244.348,104.36,110.012,103.204,127.252,302.552,11.348,1.596,0.0,296.96799999999996,0.1559999999999988,0.0,6.688000000000001,0.0,8.752,1010.35
instance_4,1.0,400.876,49.836,55.032,46.568,59.364,100.492,6.196,1.468,0.0,15.516,0.04800000000000004,0.0,3.4559999999999995,0.0,4.852,1226.5
instance_5,1.0,48.304,13.292,18.38,10.476,14.144,20.804,1.048,0.24,0.0,3.292,0.01200000000000001,0.0,0.5760000000000001,4.052,0.78,146.14
instance_6,1.0,277.864,69.044,72.596,65.492,75.872,104.46,4.892,0.7639999999999993,0.0,53.08,0.0,0.0,2.6359999999999992,0.0,4.143999999999999,1086.07
instance_7,1.0,464.372,106.388,111.604,103.448,117.4,159.716,6.46,1.3319999999999999,0.0,97.744,0.06799999999999962,0.0,3.412,0.0,5.643999999999999,1545.82
instance_8,1.0,125.964,11.532,16.692,8.64,11.984,14.22,1.332,0.6559999999999999,2.3680000000000003,0.712,0.07599999999999985,2.8200000000000003,0.6399999999999999,0.5759999999999998,1.0839999999999999,6.856
instance_9,1.0,115.372,10.884,15.864,7.976,11.16,13.336,1.272,0.496,2.216,0.532,0.0040000000000000036,2.508,0.45199999999999996,0.44799999999999995,0.8160000000000001,6.292
instance_10,1.0,14.324,5.148,3.244,2.136,4.544,0.376,0.036,0.012000000000000004,0.1,0.016,0.0,0.11599999999999999,0.012000000000000004,0.008,0.020000000000000004,0.164
instance_12,1.0,0.08,0.016,0.016,1.224,0.924,0.024,0.016,0.0,0.052000000000000005,0.0,0.0,0.032,0.0,0.0,0.0,0.024
instance_13,1.0,97.852,45.192,50.64,41.004,49.356,67.54,2.54,0.2679999999999998,0.0,0.7799999999999998,0.0,0.0,0.944,16.416,1.096,338.772
instance_14,1.0,45.888,25.676,30.696,23.308,28.92,32.816,1.472,0.14000000000000012,0.0,0.42799999999999994,0.008000000000000007,0.0,0.516,7.168000000000001,0.512,152.776
instance_15,1.0,3.2,5.212,10.22,2.208,4.656,0.9,0.068,0.023999999999999994,0.13599999999999998,0.023999999999999994,0.0,0.156,0.01999999999999999,0.01999999999999999,0.039999999999999994,0.252
instance_16,1.0,0.876,5.068,2.816,2.052,4.672,0.3,0.028,0.007999999999999997,0.048,0.007999999999999997,0.0,0.052000000000000005,0.007999999999999997,0.007999999999999997,0.015999999999999997,0.076
instance_17,1.0,0.42,5.068,0.88,2.064,4.84,0.172,0.02,0.008,0.02,0.012,0.0,0.023999999999999997,0.008,0.004,0.012,0.096
instance_20,1.0,0.712,5.048,1.74,2.044,4.728,0.228,0.028,0.0,0.032,0.004,0.0,0.036000000000000004,0.0,0.0,0.007999999999999997,0.068
instance_21,1.0,0.884,5.06,2.86,2.056,4.576,0.312,0.028,0.007999999999999997,0.044,0.007999999999999997,0.0,0.052000000000000005,0.007999999999999997,0.007999999999999997,0.012,0.08
instance_22,1.0,1.156,5.132,4.5,2.156,4.68,0.38,0.04,0.016,0.047999999999999994,0.019999999999999997,0.0,0.056,0.011999999999999997,0.008,0.028000000000000004,0.172
instance_23,1.0,49.552,9.86,14.956,7.06,10.048,11.92,1.092,0.472,2.804,0.5519999999999998,0.02400000000000002,3.304,0.46399999999999997,0.43599999999999994,0.696,6.512
instance_24,1.0,41.468,9.228,14.22,6.168,8.984,10.684,0.916,0.396,1.94,0.47599999999999987,0.016000000000000014,2.216,0.404,0.33599999999999997,0.5039999999999999,4.644
instance_26,1.0,49.756,9.872,15.04,6.812,9.8,12.136,1.052,0.532,2.808,0.5999999999999999,0.05600000000000005,3.3560000000000003,0.52,0.5,0.764,16.14
instance_27,1.0,22.076,6.724,11.776,3.712,7.084,9.764,0.524,0.04799999999999993,0.0,0.07599999999999996,0.0,32.476,0.19599999999999995,1.096,0.12,1.856
instance_29,1.0,0.668,5.052,0.852,2.056,4.88,0.16,0.02,0.008,0.02,0.008,0.0,0.023999999999999997,0.004,0.004,0.012,0.228
instance_30,1.0,0.64,5.072,1.676,2.064,4.716,0.204,0.024,0.008,0.024,0.011999999999999997,0.0,0.027999999999999997,0.008,0.004,0.016,0.14
instance_31,1.0,20.656,5.404,10.424,2.42,4.944,1.992,0.092,0.027999999999999997,0.368,0.04000000000000001,0.0,0.42000000000000004,0.027999999999999997,0.048000000000000015,0.055999999999999994,0.548
instance_36,1.0,4.2,5.06,0.556,2.052,4.508,0.172,0.024,0.004,0.04,0.008,0.0,0.044000000000000004,0.004,0.004,0.011999999999999997,0.412
instance_37,1.0,1.792,5.172,5.744,2.176,4.564,0.484,0.048,0.023999999999999994,0.09599999999999999,0.032,0.003999999999999997,0.108,0.020000000000000004,0.016,0.036000000000000004,0.604
instance_38,1.0,20.324,5.256,6.824,2.236,4.592,0.652,0.06,0.024000000000000007,0.196,0.027999999999999997,0.0,0.21600000000000003,0.016,0.011999999999999997,0.04000000000000001,0.708
instance_40,1.0,22.58,6.42,11.436,3.44,5.732,3.548,0.312,0.14400000000000002,4.088,0.188,0.0040000000000000036,3.684,0.11199999999999999,0.09599999999999997,0.24800000000000005,2.488
instance_41,1.0,18.56,5.744,10.78,2.748,5.104,2.004,0.188,0.08800000000000002,0.6160000000000001,0.124,0.0040000000000000036,0.6559999999999999,0.068,0.064,0.15599999999999997,1.04
instance_42,1.0,21.664,5.924,10.908,2.904,5.18,2.432,0.208,0.1,1.8840000000000001,0.144,0.0,1.836,0.07999999999999999,0.06800000000000003,0.17200000000000001,2.432
instance_44,1.0,22.58,6.408,11.476,3.428,5.748,3.696,0.364,0.19600000000000006,2.3160000000000003,0.28400000000000003,0.008000000000000007,2.2800000000000002,0.17200000000000004,0.10799999999999998,0.36,2.464
instance_45,1.0,18.156,5.8,10.816,2.796,5.188,2.432,0.196,0.09999999999999998,0.5640000000000001,0.132,0.0040000000000000036,0.6439999999999999,0.07600000000000001,0.064,0.16399999999999998,1.1
instance_48,1.0,43.364,11.364,16.392,8.372,11.396,13.768,1.292,0.5720000000000001,0.0,0.8160000000000001,0.0040000000000000036,0.0,0.4159999999999999,0.3839999999999999,1.172,25.44
instance_49,1.0,43.34,11.332,16.436,8.336,11.376,13.548,1.288,0.5800000000000001,0.0,0.8280000000000001,0.0,0.0,0.43199999999999994,0.3959999999999999,1.184,9.168
instance_51,1.0,36.568,8.936,13.944,5.936,8.656,10.296,0.824,0.404,16.119999999999997,0.608,0.016000000000000014,14.824,0.33199999999999996,0.27200000000000013,0.7960000000000002,7.224
instance_52,1.0,34.432,9.928,15.072,6.964,9.636,11.532,0.868,0.42400000000000004,0.0,0.62,0.0040000000000000036,17.872,0.32399999999999995,0.2679999999999999,0.828,17.164
instance_53,1.0,35.948,9.088,14.148,6.092,8.884,10.444,0.856,0.43200000000000005,15.388,0.612,0.0040000000000000036,14.708,0.31999999999999995,0.2640000000000001,0.7959999999999999,7.444
instance_55,1.0,36.732,10.12,15.248,7.196,10.016,11.872,1.012,0.472,0.0,0.704,0.01200000000000001,0.0,0.3639999999999999,0.32800000000000007,0.9239999999999999,18.236
instance_56,1.0,0.188,5.024,3.6,2.028,4.748,0.168,0.024,0.008,0.019999999999999997,0.008,0.0,0.019999999999999997,0.008,0.004,0.011999999999999997,0.048
instance_57,1.0,0.708,5.128,10.156,2.116,4.652,0.448,0.056,0.024,0.068,0.028000000000000004,0.0,0.07200000000000001,0.015999999999999993,0.019999999999999997,0.04,0.404
instance_58,1.0,20.668,5.296,10.32,2.308,4.76,2.644,0.096,0.032,0.48,0.04000000000000001,0.0,0.616,0.023999999999999994,0.023999999999999994,0.04799999999999999,0.364
instance_59,1.0,28.46,6.624,11.608,3.58,6.284,7.712,0.44,0.13999999999999996,5.204,0.16399999999999998,0.0,6.204,0.12000000000000005,0.09600000000000003,0.21200000000000002,1.732
instance_60,1.0,696.18,667.056,683.356,662.26,671.468,798.832,1.02,0.3400000000000001,0.0,0.6839999999999999,0.05600000000000005,0.0,0.256,0.0,0.45199999999999996,723.712
instance_62,1.0,50.54,28.516,33.068,26.016,31.984,36.944,2.484,0.524,0.0,1.0,0.15600000000000014,17.92,1.7800000000000002,2.1879999999999997,2.7560000000000002,28.172
instance_64,1.0,71.824,29.176,34.72,26.536,34.82,36.868,3.552,0.3919999999999999,0.0,0.9440000000000004,0.0,25.092,1.9200000000000004,2.4679999999999995,2.916,31.316
instance_65,1.0,57.968,20.556,26.3,18.292,24.2,27.644,2.248,0.2679999999999998,0.0,0.6199999999999997,0.019999999999999574,16.076,1.3599999999999999,1.6919999999999997,2.0279999999999996,19.672
instance_66,1.0,64.956,25.16,30.4,23.0,29.248,34.684,2.652,0.3839999999999999,0.0,0.8879999999999999,0.04800000000000004,20.392,1.7480000000000002,2.0599999999999996,2.3839999999999995,25.736
