@RELATION Titus

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE step_1 {ok, timeout, memout, not_applicable, crash, other}

@DATA
instance_1981,1.0,ok
instance_6172,1.0,ok
instance_3751,1.0,ok
instance_2648,1.0,ok
instance_4297,1.0,ok
instance_6327,1.0,ok
instance_4492,1.0,ok
instance_5641,1.0,ok
instance_6903,1.0,ok
instance_8964,1.0,ok
instance_6259,1.0,ok
instance_3554,1.0,ok
instance_8599,1.0,ok
instance_3774,1.0,ok
instance_5262,1.0,ok
instance_4487,1.0,ok
instance_2443,1.0,ok
instance_6854,1.0,ok
instance_7002,1.0,ok
instance_6454,1.0,ok
instance_660,1.0,ok
instance_6724,1.0,ok
instance_3372,1.0,ok
instance_600,1.0,ok
instance_5052,1.0,ok
instance_8563,1.0,ok
instance_7246,1.0,ok
instance_3925,1.0,ok
instance_3134,1.0,ok
instance_8285,1.0,ok
instance_7981,1.0,ok
instance_5383,1.0,ok
instance_3724,1.0,ok
instance_1087,1.0,ok
instance_2226,1.0,ok
instance_7661,1.0,ok
instance_3769,1.0,ok
instance_1041,1.0,ok
instance_5251,1.0,ok
instance_6673,1.0,ok
instance_2258,1.0,ok
instance_4107,1.0,ok
instance_6690,1.0,ok
instance_4112,1.0,ok
instance_5904,1.0,ok
instance_4490,1.0,ok
instance_2429,1.0,ok
instance_6409,1.0,ok
instance_1249,1.0,ok
instance_2847,1.0,ok
instance_5837,1.0,ok
instance_3023,1.0,ok
instance_396,1.0,ok
instance_523,1.0,ok
instance_6285,1.0,ok
instance_8491,1.0,ok
instance_1764,1.0,ok
instance_1658,1.0,ok
instance_4059,1.0,ok
instance_8593,1.0,ok
instance_4791,1.0,ok
instance_6529,1.0,ok
instance_5986,1.0,ok
instance_597,1.0,ok
instance_1426,1.0,ok
instance_6276,1.0,ok
instance_4288,1.0,ok
instance_6532,1.0,ok
instance_7020,1.0,ok
instance_4543,1.0,ok
instance_5590,1.0,ok
instance_104,1.0,ok
instance_2296,1.0,ok
instance_2078,1.0,ok
instance_6968,1.0,ok
instance_8655,1.0,ok
instance_1082,1.0,ok
instance_4279,1.0,ok
instance_5591,1.0,ok
instance_8822,1.0,ok
instance_7385,1.0,ok
instance_8395,1.0,ok
instance_190,1.0,ok
instance_4269,1.0,ok
instance_7979,1.0,ok
instance_8703,1.0,ok
instance_7430,1.0,ok
instance_9291,1.0,ok
instance_7789,1.0,ok
instance_5463,1.0,ok
instance_7742,1.0,ok
instance_6301,1.0,ok
instance_4522,1.0,ok
instance_6202,1.0,ok
instance_7708,1.0,ok
instance_7847,1.0,ok
instance_4694,1.0,ok
instance_8649,1.0,ok
instance_346,1.0,ok
instance_7555,1.0,ok
instance_301,1.0,ok
instance_1879,1.0,ok
instance_8344,1.0,ok
instance_678,1.0,ok
instance_3740,1.0,ok
instance_5899,1.0,ok
instance_6580,1.0,ok
instance_1264,1.0,ok
instance_7895,1.0,ok
instance_189,1.0,ok
instance_6429,1.0,ok
instance_2534,1.0,ok
instance_9718,1.0,ok
instance_6300,1.0,ok
instance_8195,1.0,ok
instance_6257,1.0,ok
instance_8319,1.0,ok
instance_7118,1.0,ok
instance_1842,1.0,ok
instance_3261,1.0,ok
instance_7053,1.0,ok
instance_5618,1.0,ok
instance_2512,1.0,ok
instance_2254,1.0,ok
instance_8820,1.0,ok
instance_3048,1.0,ok
instance_2631,1.0,ok
instance_7186,1.0,ok
instance_2215,1.0,ok
instance_8139,1.0,ok
instance_6508,1.0,ok
instance_3418,1.0,ok
instance_2386,1.0,ok
instance_3614,1.0,ok
instance_2039,1.0,ok
instance_3528,1.0,ok
instance_7108,1.0,ok
instance_4250,1.0,ok
instance_7047,1.0,ok
instance_4118,1.0,ok
instance_7872,1.0,ok
instance_5164,1.0,ok
instance_5031,1.0,ok
instance_6482,1.0,ok
instance_9399,1.0,ok
instance_7844,1.0,ok
instance_1050,1.0,ok
instance_7767,1.0,ok
instance_5074,1.0,ok
instance_5806,1.0,ok
instance_2526,1.0,ok
instance_7353,1.0,ok
instance_7896,1.0,ok
instance_7437,1.0,ok
instance_5309,1.0,ok
instance_4398,1.0,ok
instance_9695,1.0,ok
instance_9215,1.0,ok
instance_7678,1.0,ok
instance_404,1.0,ok
instance_6648,1.0,ok
instance_7626,1.0,ok
instance_3859,1.0,ok
instance_7202,1.0,ok
instance_1085,1.0,ok
instance_831,1.0,ok
instance_3982,1.0,ok
instance_1387,1.0,ok
instance_9520,1.0,ok
instance_4149,1.0,ok
instance_7268,1.0,ok
instance_2196,1.0,ok
instance_7717,1.0,ok
instance_2347,1.0,ok
instance_1340,1.0,ok
instance_4375,1.0,ok
instance_9184,1.0,ok
instance_3183,1.0,ok
instance_441,1.0,ok
instance_6081,1.0,ok
instance_1671,1.0,ok
instance_3943,1.0,ok
instance_5117,1.0,ok
instance_7362,1.0,ok
instance_8873,1.0,ok
instance_2120,1.0,ok
instance_8039,1.0,ok
instance_229,1.0,ok
instance_2268,1.0,ok
instance_7483,1.0,ok
instance_9423,1.0,ok
instance_7095,1.0,ok
instance_461,1.0,ok
instance_4143,1.0,ok
instance_7527,1.0,ok
instance_5633,1.0,ok
instance_954,1.0,ok
instance_901,1.0,ok
instance_3421,1.0,ok
instance_7043,1.0,ok
instance_283,1.0,ok
instance_1914,1.0,ok
instance_8425,1.0,ok
instance_8290,1.0,ok
instance_6745,1.0,ok
