@RELATION Titus

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE feature_1 NUMERIC
@ATTRIBUTE feature_2 NUMERIC
@ATTRIBUTE feature_3 NUMERIC
@ATTRIBUTE feature_4 NUMERIC
@ATTRIBUTE feature_5 NUMERIC
@ATTRIBUTE feature_6 NUMERIC
@ATTRIBUTE feature_7 NUMERIC
@ATTRIBUTE feature_8 NUMERIC
@ATTRIBUTE feature_9 NUMERIC
@ATTRIBUTE feature_10 NUMERIC
@ATTRIBUTE feature_11 NUMERIC
@ATTRIBUTE feature_12 NUMERIC
@ATTRIBUTE feature_13 NUMERIC
@ATTRIBUTE feature_14 NUMERIC
@ATTRIBUTE feature_15 NUMERIC
@ATTRIBUTE feature_16 NUMERIC
@ATTRIBUTE feature_17 NUMERIC
@ATTRIBUTE feature_18 NUMERIC
@ATTRIBUTE feature_19 NUMERIC
@ATTRIBUTE feature_20 NUMERIC
@ATTRIBUTE feature_21 NUMERIC
@ATTRIBUTE feature_22 NUMERIC
@ATTRIBUTE feature_23 NUMERIC
@ATTRIBUTE feature_24 NUMERIC
@ATTRIBUTE feature_25 NUMERIC
@ATTRIBUTE feature_26 NUMERIC
@ATTRIBUTE feature_27 NUMERIC
@ATTRIBUTE feature_28 NUMERIC
@ATTRIBUTE feature_29 NUMERIC
@ATTRIBUTE feature_30 NUMERIC
@ATTRIBUTE feature_31 NUMERIC
@ATTRIBUTE feature_32 NUMERIC
@ATTRIBUTE feature_33 NUMERIC
@ATTRIBUTE feature_34 NUMERIC
@ATTRIBUTE feature_35 NUMERIC
@ATTRIBUTE feature_36 NUMERIC
@ATTRIBUTE feature_37 NUMERIC
@ATTRIBUTE feature_38 NUMERIC
@ATTRIBUTE feature_39 NUMERIC
@ATTRIBUTE feature_40 NUMERIC
@ATTRIBUTE feature_41 NUMERIC
@ATTRIBUTE feature_42 NUMERIC
@ATTRIBUTE feature_43 NUMERIC
@ATTRIBUTE feature_44 NUMERIC
@ATTRIBUTE feature_45 NUMERIC
@ATTRIBUTE feature_46 NUMERIC
@ATTRIBUTE feature_47 NUMERIC
@ATTRIBUTE feature_48 NUMERIC
@ATTRIBUTE feature_49 NUMERIC
@ATTRIBUTE feature_50 NUMERIC
@ATTRIBUTE feature_51 NUMERIC
@ATTRIBUTE feature_52 NUMERIC
@ATTRIBUTE feature_53 NUMERIC
@ATTRIBUTE feature_54 NUMERIC
@ATTRIBUTE feature_55 NUMERIC

@DATA
instance_1,4.0,483080.0,1120.0,4.0,5580.0,20.0,119.04,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_2,4.0,966164.0,1120.0,4.0,5580.0,20.0,223.16,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_3,4.0,1449248.0,1120.0,4.0,5580.0,20.0,302.76,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_6,4.0,2898496.0,1120.0,4.0,5580.0,20.0,567.84,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_7,4.0,3381580.0,1120.0,4.0,5580.0,20.0,658.2,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_9,4.0,4347744.0,1120.0,4.0,5580.0,20.0,795.44,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_10,4.0,4830828.0,1120.0,4.0,5580.0,20.0,872.64,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_11,4.0,509608.0,1120.0,8.0,5580.0,20.0,77.24,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_12,4.0,1019216.0,1120.0,8.0,5580.0,20.0,138.56,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_13,4.0,1528824.0,1120.0,8.0,5580.0,20.0,197.6,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_15,4.0,2548040.0,1120.0,8.0,5580.0,20.0,290.8,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_18,4.0,4076868.0,1120.0,8.0,5580.0,20.0,387.92,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
instance_19,4.0,4586476.0,1120.0,8.0,5580.0,20.0,403.48,4.0,0.4,0.0,8.541296432,7.932827072,12.566370616,3.546227264,1.893775512,1.9975,0.144187004,1.599416968,2.587216236,56.0,0.314034316,4.0,1.599416968,4.0,1.599416968,3.7075,0.171428572,0.0,2.163865404,2.145950148,5.097918744,1.013019516,2.021710188,0.69749104,852.0,0.0001024,1.0,605.8823128,8.0,4.0,38.628571428,20.0,164.0,41.48711296,0.0,0.166754436,0.178571428,0.41600628,0.048784928,0.002201808,0.0,1.276122448,1.135714284,4.0,0.935190192,2.9313494
